iter	Passed	Remaining
612	27400	17298
613	27416	17235
614	27431	17172
615	27444	17108
616	27457	17044
617	27470	16980
618	27484	16917
619	27498	16853
620	27511	16790
621	27524	16727
622	27537	16663
623	27550	16601
624	27564	16538
625	27577	16475
626	27590	16413
627	27602	16350
628	27616	16288
629	27629	16226
630	27643	16165
631	27656	16103
632	27669	16041
633	27683	15981
634	27697	15920
635	27711	15860
636	27724	15799
637	27738	15738
638	27752	15678
639	27766	15618
640	27778	15557
641	27791	15497
642	27803	15436
643	27819	15378
644	27834	15319
645	27848	15260
646	27862	15201
647	27876	15143
648	27892	15085
649	27908	15027
650	27924	14970
651	27940	14912
652	27955	14855
653	27971	14798
654	27987	14741
655	28008	14687
656	28034	14635
657	28047	14577
658	28063	14521
659	28080	14465
660	28094	14408
661	28107	14351
662	28120	14293
663	28134	14236
664	28148	14179
665	28161	14123
666	28174	14066
667	28187	14009
668	28200	13952
669	28214	13896
670	28228	13840
671	28242	13784
672	28255	13728
673	28268	13672
674	28281	13617
675	28295	13561
676	28307	13505
677	28320	13449
678	28334	13395
679	28346	13339
680	28360	13284
681	28373	13230
682	28386	13175
683	28399	13120
684	28411	13065
685	28426	13011
686	28438	12956
687	28452	12902
688	28465	12848
689	28479	12794
690	28494	12742
691	28508	12688
692	28521	12635
693	28537	12582
694	28552	12530
695	28566	12477
696	28583	12425
697	28599	12373
698	28613	12321
699	28628	12269
700	28643	12217
701	28658	12165
702	28673	12113
703	28687	12061
704	28705	12011
705	28719	11959
706	28732	11907
707	28747	11856
708	28761	11804
709	28777	11754
710	28795	11704
711	28810	11653
712	28825	11602
713	28838	11551
714	28852	11500
715	28866	11450
716	28880	11399
717	28893	11348
718	28906	11297
719	28919	11246
720	28933	11196
721	28946	11145
722	28959	11095
723	28972	11044
724	28988	10995
725	29002	10945
726	29015	10895
727	29028	10845
728	29041	10796
729	29054	10746
730	29066	10696
731	29079	10646
732	29092	10597
733	29105	10547
734	29118	10498
735	29132	10449
736	29145	10400
737	29158	10351
738	29172	10303
739	29186	10254
740	29199	10206
741	29212	10157
742	29225	10108
743	29241	10061
744	29261	10015
745	29274	9967
746	29290	9920
747	29305	9873
748	29319	9825
749	29332	9777
750	29346	9729
751	29359	9682
752	29372	9634
753	29385	9587
754	29398	9539
755	29411	9492
756	29424	9445
757	29437	9398
758	29451	9351
759	29463	9304
760	29476	9257
761	29491	9211
762	29504	9164
763	29517	9117
764	29530	9071
765	29543	9025
766	29554	8978
767	29567	8931
768	29580	8885
769	29593	8839
770	29606	8793
771	29621	8748
772	29634	8702
773	29649	8657
774	29663	8611
775	29676	8566
776	29689	8520
777	29703	8475
778	29717	8430
779	29730	8385
780	29744	8340
781	29757	8295
782	29773	8251
783	29786	8206
784	29801	8162
785	29813	8117
786	29826	8072
787	29839	8027
788	29852	7983
789	29865	7939
790	29878	7894
791	29892	7850
792	29905	7806
793	29921	7762
794	29939	7720
795	29958	7677
796	29978	7635
797	29994	7592
798	30009	7549
799	30022	7505
800	30036	7462
801	30050	7418
802	30063	7375
803	30076	7331
804	30089	7288
805	30103	7245
806	30116	7202
807	30130	7159
808	30144	7116
809	30157	7073
810	30171	7031
811	30187	6989
812	30204	6947
813	30220	6905
814	30234	6863
815	30250	6821
816	30264	6778
817	30280	6737
818	30297	6695
819	30313	6654
820	30330	6612
821	30346	6571
822	30362	6529
823	30378	6488
824	30394	6447
825	30411	6406
826	30426	6364
827	30439	6323
828	30454	6281
829	30468	6240
830	30481	6199
831	30495	6157
832	30509	6116
833	30521	6075
834	30535	6033
835	30552	5993
836	30565	5952
837	30579	5911
838	30593	5870
839	30606	5829
840	30620	5789
841	30633	5748
842	30648	5707
843	30662	5667
844	30676	5626
845	30689	5586
846	30703	5546
847	30717	5506
848	30731	5465
849	30745	5425
850	30758	5385
851	30771	5345
852	30784	5305
853	30797	5265
854	30810	5225
855	30823	5185
856	30835	5145
857	30848	5105
858	30862	5065
859	30875	5026
860	30888	4986
861	30901	4947
862	30914	4907
863	30928	4868
864	30941	4828
865	30953	4789
866	30967	4750
867	30981	4711
868	30996	4672
869	31017	4634
870	31034	4596
871	31047	4557
872	31061	4518
873	31075	4480
874	31089	4441
875	31102	4402
876	31115	4363
877	31128	4325
878	31139	4286
879	31153	4248
880	31166	4209
881	31175	4170
882	31188	4132
883	31201	4094
884	31214	4056
885	31228	4018
886	31241	3979
887	31254	3941
888	31267	3904
889	31280	3866
